state,Pandemic_4,Pandemic_1,Pandemic_7,Pandemic_6,Pandemic_11,Pandemic_8,Year,Spare,M,Period
DE,18441,16533,0,0,0,0,2021,11,M,M11
DE,59538,54169,2,0,0,0,2021,12,M,M12
DE,127579,114702,2,2,0,0,2022,1,M,M1
DE,15982,13951,0,0,0,0,2022,2,M,M2
DE,5713,4346,0,0,0,0,2022,3,M,M3
DE,9178,8178,0,0,0,0,2022,4,M,M4
DE,27526,24350,0,0,0,0,2022,5,M,M5
DE,17035,15150,0,0,0,0,2022,6,M,M6
DE,18791,16728,2,2,0,0,2022,7,M,M7
DE,13837,11887,0,0,0,0,2022,8,M,M8
DE,5709,4925,0,0,0,0,2022,9,M,M9
DE,4334,3778,0,0,0,0,2022,10,M,M10
DE,3285,2773,1,1,0,0,2022,11,M,M11
DE,5154,4227,0,0,0,0,2022,12,M,M12
DE,4348,3357,0,0,0,0,2023,1,M,M1
DE,1954,1359,0,0,0,0,2023,2,M,M2
FL,518,443,32,32,0,0,2020,1,M,M1
FL,640,579,75,71,0,0,2020,2,M,M2
FL,32614,30795,6188,6150,680,680,2020,3,M,M3
FL,42117,40892,7252,7230,1826,1824,2020,4,M,M4
FL,44205,43842,5870,5866,1298,1298,2020,5,M,M5
FL,164028,163722,11909,11895,1874,1869,2020,6,M,M6
FL,272614,271929,21081,20994,9106,8995,2020,7,M,M7
FL,300207,299491,12396,12304,5935,5774,2020,8,M,M8
FL,224407,223492,6821,6763,1790,1698,2020,9,M,M9
FL,261057,259331,6918,6849,1190,1128,2020,10,M,M10
FL,176358,173199,8408,8283,2329,2150,2020,11,M,M11
FL,280007,255342,12101,11755,5710,5241,2020,12,M,M12
FL,791757,591137,24239,22958,10186,9400,2021,1,M,M1
FL,497499,404212,11686,11031,2608,2468,2021,2,M,M2
FL,549473,471606,11408,10778,1008,933,2021,3,M,M3
FL,329614,242295,10603,9907,1162,1120,2021,4,M,M4
FL,161594,120667,6829,6396,503,476,2021,5,M,M5
FL,118320,95136,5806,5404,285,275,2021,6,M,M6
FL,470848,369858,23648,22208,7366,6837,2021,7,M,M7
FL,755774,627910,32076,30650,17648,16430,2021,8,M,M8
FL,554087,553338,12989,12969,4064,4050,2021,9,M,M9
FL,339610,339400,5784,5778,439,439,2021,10,M,M10
FL,92168,91955,2543,2543,59,59,2021,11,M,M11
FL,608761,607509,6175,6163,1629,1629,2021,12,M,M12
FL,1158148,992226,11640,11460,9127,9120,2022,1,M,M1
FL,646363,645842,3581,3577,1464,1463,2022,2,M,M2
FL,243042,242753,1299,1299,12,12,2022,3,M,M3
FL,114933,114611,1381,1378,59,59,2022,4,M,M4
FL,310532,309866,2742,2738,618,616,2022,5,M,M5
FL,379158,378313,3519,3517,1349,1341,2022,6,M,M6
FL,356613,355107,3983,3975,1559,1551,2022,7,M,M7
FL,196334,193789,2428,2409,552,542,2022,8,M,M8
FL,41199,41113,796,796,218,218,2022,9,M,M9
FL,22740,22673,585,585,67,67,2022,10,M,M10
FL,28520,28449,713,711,137,137,2022,11,M,M11
FL,50020,49893,1094,1094,343,343,2022,12,M,M12
FL,47785,46509,1075,1074,353,352,2023,1,M,M1
FL,24473,18070,209,186,0,0,2023,2,M,M2
GA,1325,1243,2,2,720,718,2020,1,M,M1
GA,332,306,4,4,0,0,2020,2,M,M2
GA,13485,13113,348,348,0,0,2020,3,M,M3
GA,33225,32649,270,270,0,0,2020,4,M,M4
GA,33864,33370,154,154,0,0,2020,5,M,M5
GA,65773,65124,178,178,0,0,2020,6,M,M6
GA,156588,154554,210,210,0,0,2020,7,M,M7
GA,126342,121716,272,272,0,0,2020,8,M,M8
GA,77429,72192,598,546,0,0,2020,9,M,M9
GA,85979,71496,1414,1316,0,0,2020,10,M,M10
GA,148157,115205,1900,1682,0,0,2020,11,M,M11
GA,325534,238380,3706,3074,98,72,2020,12,M,M12
GA,398909,292470,3274,2718,310,244,2021,1,M,M1
GA,167263,112663,1275,1101,0,0,2021,2,M,M2
GA,83526,50859,634,524,0,0,2021,3,M,M3
GA,70278,44262,648,542,0,0,2021,4,M,M4
GA,59694,24400,398,312,58,0,2021,5,M,M5
GA,14025,9115,198,154,0,0,2021,6,M,M6
GA,76275,46053,1082,800,0,0,2021,7,M,M7
GA,377024,258756,4179,3543,116,84,2021,8,M,M8
GA,300661,221457,2558,2262,22,20,2021,9,M,M9
GA,98208,71670,779,699,0,0,2021,10,M,M10
GA,49245,33367,382,336,44,6,2021,11,M,M11
GA,310722,231373,954,836,0,0,2021,12,M,M12
GA,935614,715535,4034,3710,324,274,2022,1,M,M1
GA,162445,112263,1085,949,0,0,2022,2,M,M2
