"State","Year","Period","Pandemic_4","Pandemic_1","Pandemic_7","Pandemic_6","Pandemic_11","Pandemic_8"
"GA","2021","M07",76275,46053,1082,800,0,0
"GA","2021","M08",377024,258756,4179,3543,116,84
"GA","2021","M09",300661,221457,2558,2262,22,20
"GA","2021","M10",98208,71670,779,699,0,0
"GA","2021","M11",49245,33367,382,336,44,6
"GA","2021","M12",310722,231373,954,836,0,0
"GA","2022","M01",935614,715535,4034,3710,324,274
"GA","2022","M02",162445,112263,1085,949,0,0
"GA","2022","M03",53369,39977,125,113,0,0
"GA","2022","M04",33586,22907,87,75,50,6
"GA","2022","M05",85791,63759,198,188,0,0
"GA","2022","M06",129811,109745,404,368,0,0
"GA","2022","M07",210039,149106,715,653,0,0
"GA","2022","M08",167965,113766,487,429,0,0
"GA","2022","M09",27671,18502,87,79,0,0
"GA","2022","M10",15980,11272,62,60,0,0
"GA","2022","M11",18350,12313,63,55,0,0
"GA","2022","M12",45699,32072,147,137,0,0
"GA","2023","M01",39108,24838,118,108,0,0
"GA","2023","M02",14283,9543,37,31,0,0
"GU","2020","M01",0,0,0,0,0,0
"GU","2020","M02",0,0,0,0,0,0
"GU","2020","M03",224,224,76,76,0,0
"GU","2020","M04",74,74,8,8,0,0
"GU","2020","M05",36,36,6,6,0,0
"GU","2020","M06",153,151,4,4,0,0
"GU","2020","M07",136,134,16,16,0,0
"GU","2020","M08",1585,1579,152,152,0,0
"GU","2020","M09",1801,1784,111,111,0,0
"GU","2020","M10",2842,2764,130,130,0,0
"GU","2020","M11",3180,3025,72,72,0,0
"GU","2020","M12",665,589,18,18,0,0
"GU","2021","M01",344,306,16,14,0,0
"GU","2021","M02",172,168,6,6,0,0
"GU","2021","M03",92,90,8,8,0,0
"GU","2021","M04",288,260,8,8,0,0
"GU","2021","M05",3717,3542,8,8,0,0
"GU","2021","M06",338,288,2,2,0,0
"GU","2021","M07",296,272,12,12,0,0
"GU","2021","M08",3972,3536,34,34,0,0
"GU","2021","M09",7947,4956,107,99,0,0
"GU","2021","M10",5757,2680,86,86,0,0
"GU","2021","M11",1663,716,42,42,0,0
"GU","2021","M12",1425,765,14,12,0,0
"GU","2022","M01",9933,8153,22,22,0,0
"GU","2022","M02",15992,15305,6,6,0,0
"GU","2022","M03",4242,3326,4,4,0,0
"GU","2022","M04",1372,1121,4,4,0,0
"GU","2022","M05",1561,1227,4,4,0,0
"GU","2022","M06",4538,3428,4,2,0,0
"GU","2022","M07",5953,4566,6,6,0,0
"GU","2022","M08",3862,3036,1,1,0,0
"GU","2022","M09",444,364,2,2,0,0
"GU","2022","M10",237,172,0,0,0,0
"GU","2022","M11",422,325,0,0,0,0
"GU","2022","M12",290,280,0,0,0,0
"GU","2023","M01",270,256,0,0,0,0
"GU","2023","M02",41,38,0,0,0,0
"HI","2020","M01",0,0,0,0,0,0
"HI","2020","M02",20,16,0,0,0,0
"HI","2020","M03",449,415,0,0,0,0
"HI","2020","M04",735,704,0,0,0,0
"HI","2020","M05",227,214,0,0,0,0
"HI","2020","M06",554,534,0,0,0,0
"HI","2020","M07",1900,1841,4,4,0,0
"HI","2020","M08",7588,7374,0,0,0,0
"HI","2020","M09",14536,14215,0,0,0,0
"HI","2020","M10",3551,3416,0,0,0,0
"HI","2020","M11",7918,7788,0,0,0,0
"HI","2020","M12",2428,2309,0,0,0,0
"HI","2021","M01",8092,7422,0,0,0,0
"HI","2021","M02",2774,2587,0,0,0,0
"HI","2021","M03",2162,1886,0,0,0,0
"HI","2021","M04",2254,1996,0,0,0,0
"HI","2021","M05",1898,1742,0,0,0,0
"HI","2021","M06",1615,1478,0,0,0,0
"HI","2021","M07",11516,10750,0,0,0,0
"HI","2021","M08",28716,26298,0,0,0,0
"HI","2021","M09",10865,9906,2,2,0,0
"HI","2021","M10",7197,6231,0,0,0,0
"HI","2021","M11",3670,3135,0,0,0,0
"HI","2021","M12",12338,10062,0,0,0,0
"HI","2022","M01",39008,33140,3,3,0,0
"HI","2022","M02",39628,32099,0,0,0,0
"HI","2022","M03",61637,53834,2,2,0,0
"HI","2022","M04",19656,16493,0,0,0,0
"HI","2022","M05",21530,16962,1,1,0,0
"HI","2022","M06",29291,24059,2,0,0,0
"HI","2022","M07",17550,14728,0,0,0,0
"HI","2022","M08",8132,6987,0,0,0,0
"HI","2022","M09",2851,2399,0,0,0,0
"HI","2022","M10",36841,27521,0,0,0,0
"HI","2022","M11",94489,83183,0,0,0,0
"HI","2022","M12",2620,2311,0,0,0,0
"HI","2023","M01",1214,1051,0,0,0,0
"HI","2023","M02",541,476,0,0,0,0
"IA","2020","M01",212,174,4,4,0,0
"IA","2020","M02",58,52,4,4,0,0
"IA","2020","M03",4790,4152,570,568,0,0
"IA","2020","M04",30628,28118,2002,1986,356,348
"IA","2020","M05",50364,44346,1984,1954,394,376
"IA","2020","M06",60359,51573,1234,1208,270,234
"IA","2020","M07",69311,60549,1204,1174,170,162
"IA","2020","M08",68572,59370,1324,1272,166,146
"IA","2020","M09",72264,59682,1276,1188,160,134
"IA","2020","M10",90323,75537,1788,1648,194,182
"IA","2020","M11",150772,128914,112,90,104,104
"IA","2020","M12",67324,50899,13,2,0,0
"IA","2021","M01",46003,34034,16,0,0,0
"IA","2021","M02",22678,16680,0,0,0,0
"IA","2021","M03",20328,15082,2,0,0,0
"IA","2021","M04",17302,13222,8,0,0,0
"IA","2021","M05",8315,6410,4,2,0,0
"IA","2021","M06",3672,3042,0,0,0,0
"IA","2021","M07",14348,11262,6,2,0,0
"IA","2021","M08",52780,40300,12,4,0,0
"IA","2021","M09",84589,60527,4,2,0,0
"IA","2021","M10",58660,41208,2,0,0,0
"IA","2021","M11",13115,9239,1,1,0,0
"IA","2021","M12",49,39,3,3,0,0
"IA","2022","M01",158,99,2,2,0,0
"IA","2022","M02",19,16,0,0,0,0
"IA","2022","M05",22,16,0,0,0,0
"IA","2022","M06",33,25,0,0,0,0
"IA","2022","M07",57,35,0,0,0,0
"IA","2022","M08",36,11,0,0,0,0
"IA","2022","M12",15,7,0,0,0,0
"IA","2023","M01",13,2,1,0,0,0
"ID","2020","M01",0,0,0,0,0,0
"ID","2020","M02",0,0,0,0,0,0
"ID","2020","M03",2670,2616,372,368,0,0
"ID","2020","M04",1685,1419,174,168,0,0
"ID","2020","M05",1933,1669,162,160,0,0
"ID","2020","M06",11220,10413,452,450,0,0
"ID","2020","M07",31124,29466,1589,1559,218,214
"ID","2020","M08",19629,17666,1071,1037,126,126
"ID","2020","M09",22522,18519,1018,964,22,22
"ID","2020","M10",49493,39571,2210,2055,327,295
"ID","2020","M11",87630,70371,3362,3075,611,515
"ID","2020","M12",65014,49076,2746,2454,438,353
"ID","2021","M01",37264,27525,1410,1285,90,72
"ID","2021","M02",15744,11685,717,639,0,0
"ID","2021","M03",18561,13203,1001,862,0,0
"ID","2021","M04",13151,9848,830,762,0,0
"ID","2021","M05",8975,6901,607,544,0,0
"ID","2021","M06",5224,4123,472,442,0,0
"ID","2021","M07",14459,11244,928,845,24,18
"ID","2021","M08",51500,40729,2618,2351,318,262
"ID","2021","M09",84714,66241,3971,3568,731,613
"ID","2021","M10",51988,39392,2727,2407,437,315
"ID","2021","M11",25984,19991,1412,1288,48,42
"ID","2021","M12",29474,23924,1282,1155,50,40
"ID","2022","M01",203494,153151,2508,2259,309,242
"ID","2022","M02",32964,25410,985,905,56,34
"ID","2022","M03",3668,2983,190,186,0,0
"ID","2022","M04",3523,2673,103,94,0,0
"ID","2022","M05",11875,8589,202,188,0,0
"ID","2022","M06",23768,16329,474,432,0,0
"ID","2022","M07",30832,19545,610,556,0,0
"ID","2022","M08",16449,10449,338,311,0,0
"ID","2022","M09",5993,3792,188,177,0,0
"ID","2022","M10",4687,2925,171,154,0,0
