State,Year,Period,Pandemic_10
MO,2022,M03,1101
MO,2022,M04,350
MO,2022,M05,254
MO,2022,M06,135
MO,2022,M07,228
MO,2022,M08,311
MO,2022,M09,256
MO,2022,M10,0
MT,2020,M01,0
MT,2020,M02,0
MT,2020,M03,5
MT,2020,M04,11
MT,2020,M05,1
MT,2020,M06,5
MT,2020,M07,38
MT,2020,M08,44
MT,2020,M09,76
MT,2020,M10,195
MT,2020,M11,306
MT,2020,M12,280
MT,2021,M01,272
MT,2021,M02,124
MT,2021,M03,80
MT,2021,M04,134
MT,2021,M05,42
MT,2021,M06,52
MT,2021,M07,39
MT,2021,M08,96
MT,2021,M09,209
MT,2021,M10,337
MT,2021,M11,325
MT,2021,M12,235
MT,2022,M01,94
MT,2022,M02,187
MT,2022,M03,60
MT,2022,M04,113
MT,2022,M05,40
MT,2022,M06,44
MT,2022,M07,29
MT,2022,M08,31
MT,2022,M09,16
MT,2022,M10,0
NE,2020,M01,0
NE,2020,M02,0
NE,2020,M03,3
NE,2020,M04,67
NE,2020,M05,100
NE,2020,M06,104
NE,2020,M07,58
NE,2020,M08,65
NE,2020,M09,81
NE,2020,M10,174
NE,2020,M11,366
NE,2020,M12,633
NE,2021,M01,269
NE,2021,M02,162
NE,2021,M03,98
NE,2021,M04,64
NE,2021,M05,5
NE,2021,M06,12
NE,2021,M07,19
NE,2021,M08,42
NE,2021,M09,510
NE,2021,M10,143
NE,2021,M11,180
NE,2021,M12,183
NE,2022,M01,328
NE,2022,M02,290
NE,2022,M03,188
NE,2022,M04,53
NE,2022,M05,97
NE,2022,M06,46
NE,2022,M07,26
NE,2022,M08,89
NE,2022,M09,87
NE,2022,M10,0
NV,2020,M01,0
NV,2020,M02,0
NV,2020,M03,26
NV,2020,M04,217
NV,2020,M05,174
NV,2020,M06,90
NV,2020,M07,323
NV,2020,M08,475
NV,2020,M09,295
NV,2020,M10,177
NV,2020,M11,367
NV,2020,M12,978
NV,2021,M01,1148
NV,2021,M02,687
NV,2021,M03,292
NV,2021,M04,215
NV,2021,M05,122
NV,2021,M06,95
NV,2021,M07,231
NV,2021,M08,598
NV,2021,M09,640
NV,2021,M10,480
NV,2021,M11,386
NV,2021,M12,403
NV,2022,M01,531
NV,2022,M02,753
NV,2022,M03,388
NV,2022,M04,661
NV,2022,M05,120
NV,2022,M06,167
NV,2022,M07,182
NV,2022,M08,179
NV,2022,M09,101
NV,2022,M10,0
NH,2020,M01,0
NH,2020,M02,0
NH,2020,M03,3
NH,2020,M04,69
NH,2020,M05,173
NH,2020,M06,126
NH,2020,M07,44
NH,2020,M08,17
NH,2020,M09,7
NH,2020,M10,44
NH,2020,M11,43
NH,2020,M12,233
NH,2021,M01,298
NH,2021,M02,113
NH,2021,M03,68
NH,2021,M04,65
NH,2021,M05,50
NH,2021,M06,19
NH,2021,M07,15
NH,2021,M08,30
NH,2021,M09,64
NH,2021,M10,63
NH,2021,M11,172
NH,2021,M12,245
NH,2022,M01,248
NH,2022,M02,168
NH,2022,M03,75
NH,2022,M04,28
NH,2022,M05,57
NH,2022,M06,48
NH,2022,M07,42
NH,2022,M08,35
NH,2022,M09,43
NH,2022,M10,0
NJ,2020,M01,0
NJ,2020,M02,0
NJ,2020,M03,366
NJ,2020,M04,8371
NJ,2020,M05,4781
NJ,2020,M06,1517
NJ,2020,M07,784
NJ,2020,M08,126
NJ,2020,M09,177
NJ,2020,M10,228
NJ,2020,M11,643
NJ,2020,M12,2049
NJ,2021,M01,2442
NJ,2021,M02,1768
NJ,2021,M03,1309
NJ,2021,M04,993
NJ,2021,M05,658
NJ,2021,M06,245
NJ,2021,M07,145
NJ,2021,M08,280
NJ,2021,M09,545
NJ,2021,M10,545
NJ,2021,M11,418
NJ,2021,M12,647
NJ,2022,M01,2405
NJ,2022,M02,1473
NJ,2022,M03,317
NJ,2022,M04,197
NJ,2022,M05,273
NJ,2022,M06,347
NJ,2022,M07,217
NJ,2022,M08,296
NJ,2022,M09,182
NJ,2022,M10,0
NM,2020,M01,0
NM,2020,M02,0
NM,2020,M03,4
NM,2020,M04,119
NM,2020,M05,233
NM,2020,M06,141
NM,2020,M07,145
NM,2020,M08,137
NM,2020,M09,98
NM,2020,M10,141
NM,2020,M11,550
NM,2020,M12,909
NM,2021,M01,806
NM,2021,M02,433
NM,2021,M03,221
NM,2021,M04,130
NM,2021,M05,196
NM,2021,M06,77
NM,2021,M07,70
NM,2021,M08,108
NM,2021,M09,283
NM,2021,M10,248
NM,2021,M11,318
NM,2021,M12,488
NM,2022,M01,599
NM,2022,M02,465
NM,2022,M03,355
NM,2022,M04,225
NM,2022,M05,292
NM,2022,M06,150
NM,2022,M07,305
NM,2022,M08,201
NM,2022,M09,120
NM,2022,M10,0
NY,2020,M01,0
NY,2020,M02,0
NY,2020,M03,2767
NY,2020,M04,21667
NY,2020,M05,6129
NY,2020,M06,1346
