"State","Year","Period","S_Consumption"
"FL",2014,"M02",492041.15
"FL",2014,"M03",494317.625
"FL",2014,"M04",496594.1
"FL",2014,"M05",498870.575
"FL",2014,"M06",501147.05
"FL",2014,"M07",503423.525
"FL",2014,"M08",505700
"FL",2014,"M09",507976.475
"FL",2014,"M10",510252.95
"FL",2014,"M11",512529.425
"FL",2014,"M12",514805.9
"FL",2015,"M01",517316.325
"FL",2015,"M02",519826.75
"FL",2015,"M03",522337.175
"FL",2015,"M04",524847.6
"FL",2015,"M05",527358.025
"FL",2015,"M06",529868.45
"FL",2015,"M07",532378.875
"FL",2015,"M08",534889.3
"FL",2015,"M09",537399.725
"FL",2015,"M10",539910.15
"FL",2015,"M11",542420.575
"FL",2015,"M12",544931
"FL",2016,"M01",546934.466666667
"FL",2016,"M02",548937.933333333
"FL",2016,"M03",550941.4
"FL",2016,"M04",552944.866666667
"FL",2016,"M05",554948.333333333
"FL",2016,"M06",556951.8
"FL",2016,"M07",558955.266666667
"FL",2016,"M08",560958.733333333
"FL",2016,"M09",562962.2
"FL",2016,"M10",564965.666666667
"FL",2016,"M11",566969.133333333
"FL",2016,"M12",568972.6
"FL",2017,"M01",571485.541666667
"FL",2017,"M02",573998.483333333
"FL",2017,"M03",576511.425
"FL",2017,"M04",579024.366666667
"FL",2017,"M05",581537.308333333
"FL",2017,"M06",584050.25
"FL",2017,"M07",586563.191666667
"FL",2017,"M08",589076.133333333
"FL",2017,"M09",591589.075
"FL",2017,"M10",594102.016666667
"FL",2017,"M11",596614.958333333
"FL",2017,"M12",599127.9
"FL",2018,"M01",602089.583333333
"FL",2018,"M02",605051.266666667
"FL",2018,"M03",608012.95
"FL",2018,"M04",610974.633333333
"FL",2018,"M05",613936.316666667
"FL",2018,"M06",616898
"FL",2018,"M07",619859.683333333
"FL",2018,"M08",622821.366666667
"FL",2018,"M09",625783.05
"FL",2018,"M10",628744.733333333
"FL",2018,"M11",631706.416666667
"FL",2018,"M12",634668.1
"FL",2019,"M01",637062.308333333
"FL",2019,"M02",639456.516666667
"FL",2019,"M03",641850.725
"FL",2019,"M04",644244.933333333
"FL",2019,"M05",646639.141666667
"FL",2019,"M06",649033.35
"FL",2019,"M07",651427.558333333
"FL",2019,"M08",653821.766666667
"FL",2019,"M09",656215.975
"FL",2019,"M10",658610.183333333
"FL",2019,"M11",661004.391666667
"FL",2019,"M12",663398.6
"FL",2020,"M01",661710.325
"FL",2020,"M02",660022.05
"FL",2020,"M03",658333.775
"FL",2020,"M04",656645.5
"FL",2020,"M05",654957.225
"FL",2020,"M06",653268.95
"FL",2020,"M07",651580.675
"FL",2020,"M08",649892.4
"FL",2020,"M09",648204.125
"FL",2020,"M10",646515.85
"FL",2020,"M11",644827.575
"FL",2020,"M12",643139.3
"FL",2021,"M01",650382.075
"FL",2021,"M02",657624.85
"FL",2021,"M03",664867.625
"FL",2021,"M04",672110.4
"FL",2021,"M05",679353.175
"FL",2021,"M06",686595.95
"FL",2021,"M07",693838.725
"FL",2021,"M08",701081.5
"FL",2021,"M09",708324.275
"FL",2021,"M10",715567.05
"FL",2021,"M11",722809.825
"FL",2021,"M12",730052.6
"FL",2022,"M01",736742.95
"FL",2022,"M02",743433.3
"FL",2022,"M03",750123.65
"FL",2022,"M04",756814
"FL",2022,"M05",763504.35
"FL",2022,"M06",770194.7
"FL",2022,"M07",776885.05
"FL",2022,"M08",783575.4
"FL",2022,"M09",790265.75
"FL",2022,"M10",796956.1
"FL",2022,"M11",803646.45
"FL",2022,"M12",810336.8
"GA",2012,"M01",191676.341666667
"GA",2012,"M02",192175.983333333
"GA",2012,"M03",192675.625
"GA",2012,"M04",193175.266666667
"GA",2012,"M05",193674.908333333
"GA",2012,"M06",194174.55
"GA",2012,"M07",194674.191666667
"GA",2012,"M08",195173.833333333
"GA",2012,"M09",195673.475
"GA",2012,"M10",196173.116666667
"GA",2012,"M11",196672.758333333
"GA",2012,"M12",197172.4
"GA",2013,"M01",197772.15
"GA",2013,"M02",198371.9
"GA",2013,"M03",198971.65
"GA",2013,"M04",199571.4
"GA",2013,"M05",200171.15
"GA",2013,"M06",200770.9
"GA",2013,"M07",201370.65
"GA",2013,"M08",201970.4
"GA",2013,"M09",202570.15
"GA",2013,"M10",203169.9
"GA",2013,"M11",203769.65
"GA",2013,"M12",204369.4
"GA",2014,"M01",205260.641666667
"GA",2014,"M02",206151.883333333
"GA",2014,"M03",207043.125
"GA",2014,"M04",207934.366666667
"GA",2014,"M05",208825.608333333
"GA",2014,"M06",209716.85
"GA",2014,"M07",210608.091666667
"GA",2014,"M08",211499.333333333
"GA",2014,"M09",212390.575
"GA",2014,"M10",213281.816666667
"GA",2014,"M11",214173.058333333
"GA",2014,"M12",215064.3
"GA",2015,"M01",215946.475
"GA",2015,"M02",216828.65
"GA",2015,"M03",217710.825
"GA",2015,"M04",218593
"GA",2015,"M05",219475.175
"GA",2015,"M06",220357.35
"GA",2015,"M07",221239.525
"GA",2015,"M08",222121.7
"GA",2015,"M09",223003.875
"GA",2015,"M10",223886.05
"GA",2015,"M11",224768.225
"GA",2015,"M12",225650.4
"GA",2016,"M01",226670.716666667
"GA",2016,"M02",227691.033333333
"GA",2016,"M03",228711.35
"GA",2016,"M04",229731.666666667
"GA",2016,"M05",230751.983333333
"GA",2016,"M06",231772.3
"GA",2016,"M07",232792.616666667
"GA",2016,"M08",233812.933333333
"GA",2016,"M09",234833.25
"GA",2016,"M10",235853.566666667
"GA",2016,"M11",236873.883333333
"GA",2016,"M12",237894.2
"GA",2017,"M01",238830.75
"GA",2017,"M02",239767.3
"GA",2017,"M03",240703.85
"GA",2017,"M04",241640.4
"GA",2017,"M05",242576.95
"GA",2017,"M06",243513.5
"GA",2017,"M07",244450.05
"GA",2017,"M08",245386.6
"GA",2017,"M09",246323.15
"GA",2017,"M10",247259.7
"GA",2017,"M11",248196.25
"GA",2017,"M12",249132.8
"GA",2018,"M01",250199.041666667
"GA",2018,"M02",251265.283333333
"GA",2018,"M03",252331.525
"GA",2018,"M04",253397.766666667
"GA",2018,"M05",254464.008333333
"GA",2018,"M06",255530.25
"GA",2018,"M07",256596.491666667
"GA",2018,"M08",257662.733333333
"GA",2018,"M09",258728.975
"GA",2018,"M10",259795.216666667
"GA",2018,"M11",260861.458333333
"GA",2018,"M12",261927.7
"GA",2019,"M01",262940.091666667
"GA",2019,"M02",263952.483333333
"GA",2019,"M03",264964.875
"GA",2019,"M04",265977.266666667
"GA",2019,"M05",266989.658333333
"GA",2019,"M06",268002.05
"GA",2019,"M07",269014.441666667
"GA",2019,"M08",270026.833333333
"GA",2019,"M09",271039.225
"GA",2019,"M10",272051.616666667
"GA",2019,"M11",273064.008333333
"GA",2019,"M12",274076.4
"GA",2020,"M01",273138.05
"GA",2020,"M02",272199.7
"GA",2020,"M03",271261.35
"GA",2020,"M04",270323
"GA",2020,"M05",269384.65
"GA",2020,"M06",268446.3
"GA",2020,"M07",267507.95
"GA",2020,"M08",266569.6
"GA",2020,"M09",265631.25
"GA",2020,"M10",264692.9
"GA",2020,"M11",263754.55
"GA",2020,"M12",262816.2
"GA",2021,"M01",265418.716666667
"GA",2021,"M02",268021.233333333
"GA",2021,"M03",270623.75
"GA",2021,"M04",273226.266666667
"GA",2021,"M05",275828.783333333
"GA",2021,"M06",278431.3
"GA",2021,"M07",281033.816666667
"GA",2021,"M08",283636.333333333
"GA",2021,"M09",286238.85
"GA",2021,"M10",288841.366666667
"GA",2021,"M11",291443.883333333
"GA",2021,"M12",294046.4
"GA",2022,"M01",296397.166666667
"GA",2022,"M02",298747.933333333
"GA",2022,"M03",301098.7
"GA",2022,"M04",303449.466666667
"GA",2022,"M05",305800.233333333
"GA",2022,"M06",308151
"GA",2022,"M07",310501.766666667
"GA",2022,"M08",312852.533333333
"GA",2022,"M09",315203.3
"GA",2022,"M10",317554.066666667
"GA",2022,"M11",319904.833333333
"GA",2022,"M12",322255.6
"HI",2012,"M01",34475.7083333333
"HI",2012,"M02",34578.0166666667
"HI",2012,"M03",34680.325
"HI",2012,"M04",34782.6333333333
"HI",2012,"M05",34884.9416666667
"HI",2012,"M06",34987.25
"HI",2012,"M07",35089.5583333333
"HI",2012,"M08",35191.8666666667
"HI",2012,"M09",35294.175
"HI",2012,"M10",35396.4833333333
"HI",2012,"M11",35498.7916666667
"HI",2012,"M12",35601.1
"HI",2013,"M01",35750.7333333333
"HI",2013,"M02",35900.3666666667
"HI",2013,"M03",36050
"HI",2013,"M04",36199.6333333333
"HI",2013,"M05",36349.2666666667
"HI",2013,"M06",36498.9
"HI",2013,"M07",36648.5333333333
"HI",2013,"M08",36798.1666666667
"HI",2013,"M09",36947.8
"HI",2013,"M10",37097.4333333333
"HI",2013,"M11",37247.0666666667
"HI",2013,"M12",37396.7
"HI",2014,"M01",37505.3916666667
"HI",2014,"M02",37614.0833333333
"HI",2014,"M03",37722.775
"HI",2014,"M04",37831.4666666667
"HI",2014,"M05",37940.1583333333
"HI",2014,"M06",38048.85
"HI",2014,"M07",38157.5416666667
"HI",2014,"M08",38266.2333333333
"HI",2014,"M09",38374.925
"HI",2014,"M10",38483.6166666667
"HI",2014,"M11",38592.3083333333
"HI",2014,"M12",38701
"HI",2015,"M01",38826.6833333333
"HI",2015,"M02",38952.3666666667
"HI",2015,"M03",39078.05
"HI",2015,"M04",39203.7333333333
"HI",2015,"M05",39329.4166666667
"HI",2015,"M06",39455.1
"HI",2015,"M07",39580.7833333333
"HI",2015,"M08",39706.4666666667
"HI",2015,"M09",39832.15
"HI",2015,"M10",39957.8333333333
"HI",2015,"M11",40083.5166666667
"HI",2015,"M12",40209.2
"HI",2016,"M01",40289.3833333333
"HI",2016,"M02",40369.5666666667
"HI",2016,"M03",40449.75
"HI",2016,"M04",40529.9333333333
"HI",2016,"M05",40610.1166666667
"HI",2016,"M06",40690.3
"HI",2016,"M07",40770.4833333333
"HI",2016,"M08",40850.6666666667
"HI",2016,"M09",40930.85
"HI",2016,"M10",41011.0333333333
"HI",2016,"M11",41091.2166666667
"HI",2016,"M12",41171.4
"HI",2017,"M01",41338.2916666667
"HI",2017,"M02",41505.1833333333
