State,Year,Period,Supply_2
CO,2021,M12,17005
CO,2022,M01,27390
CO,2022,M02,25489
CO,2022,M03,21565
CO,2022,M04,17692
CO,2022,M05,16009
CO,2022,M06,15834
CO,2022,M07,16932
CO,2022,M08,16808
CO,2022,M09,15866
CO,2022,M10,16377
CO,2022,M11,18177
CO,2022,M12,NA
CT,2012,M01,59157
CT,2012,M02,58164
CT,2012,M03,62776
CT,2012,M04,55037
CT,2012,M05,50669
CT,2012,M06,50896
CT,2012,M07,58372
CT,2012,M08,58092
CT,2012,M09,47384
CT,2012,M10,47167
CT,2012,M11,49429
CT,2012,M12,52456
CT,2013,M01,65188
CT,2013,M02,57809
CT,2013,M03,61453
CT,2013,M04,52594
CT,2013,M05,48770
CT,2013,M06,48955
CT,2013,M07,55973
CT,2013,M08,55344
CT,2013,M09,44543
CT,2013,M10,44007
CT,2013,M11,45378
CT,2013,M12,51675
CT,2014,M01,64552
CT,2014,M02,57090
CT,2014,M03,60070
CT,2014,M04,48920
CT,2014,M05,44985
CT,2014,M06,44217
CT,2014,M07,50827
CT,2014,M08,50112
CT,2014,M09,38851
CT,2014,M10,38064
CT,2014,M11,39533
CT,2014,M12,43800
CT,2015,M01,55705
CT,2015,M02,55735
CT,2015,M03,53570
CT,2015,M04,46354
CT,2015,M05,36530
CT,2015,M06,36349
CT,2015,M07,43427
CT,2015,M08,43943
CT,2015,M09,33057
CT,2015,M10,32431
CT,2015,M11,34159
CT,2015,M12,37632
CT,2016,M01,47251
CT,2016,M02,49624
CT,2016,M03,46914
CT,2016,M04,40555
CT,2016,M05,35106
CT,2016,M06,39246
CT,2016,M07,43569
CT,2016,M08,44394
CT,2016,M09,33355
CT,2016,M10,32843
CT,2016,M11,34290
CT,2016,M12,37949
CT,2017,M01,49042
CT,2017,M02,48317
CT,2017,M03,48406
CT,2017,M04,42803
CT,2017,M05,33310
CT,2017,M06,33470
CT,2017,M07,40958
CT,2017,M08,40297
CT,2017,M09,30150
CT,2017,M10,29495
CT,2017,M11,29910
CT,2017,M12,36777
CT,2018,M01,44380
CT,2018,M02,48284
CT,2018,M03,47553
CT,2018,M04,40363
CT,2018,M05,31383
CT,2018,M06,30240
CT,2018,M07,37580
CT,2018,M08,37082
CT,2018,M09,26747
CT,2018,M10,25868
CT,2018,M11,26826
CT,2018,M12,31578
CT,2019,M01,41527
CT,2019,M02,42006
CT,2019,M03,41111
CT,2019,M04,34040
CT,2019,M05,28347
CT,2019,M06,29705
CT,2019,M07,35851
CT,2019,M08,36052
CT,2019,M09,25037
CT,2019,M10,25176
CT,2019,M11,26899
CT,2019,M12,32942
CT,2020,M01,41632
CT,2020,M02,41514
CT,2020,M03,44015
CT,2020,M04,308504
CT,2020,M05,271819
CT,2020,M06,249419
CT,2020,M07,250509
CT,2020,M08,227822
CT,2020,M09,174355
CT,2020,M10,99846
CT,2020,M11,77468
CT,2020,M12,73026
CT,2021,M01,83410
CT,2021,M02,74661
CT,2021,M03,71649
CT,2021,M04,80687
CT,2021,M05,66422
CT,2021,M06,58607
CT,2021,M07,49537
CT,2021,M08,45805
CT,2021,M09,45805
CT,2021,M10,45805
CT,2021,M11,22327
CT,2021,M12,22327
CT,2022,M01,22327
CT,2022,M02,22327
CT,2022,M03,22326
CT,2022,M04,22327
CT,2022,M05,22326
CT,2022,M06,22327
CT,2022,M07,28703
CT,2022,M08,29940
CT,2022,M09,17306
CT,2022,M10,16318
CT,2022,M11,17958
CT,2022,M12,NA
DE,2012,M01,11817
DE,2012,M02,12197
DE,2012,M03,11144
DE,2012,M04,10429
DE,2012,M05,9089
DE,2012,M06,9032
DE,2012,M07,9897
DE,2012,M08,9603
DE,2012,M09,8005
DE,2012,M10,8182
DE,2012,M11,8251
DE,2012,M12,8954
DE,2013,M01,10105
DE,2013,M02,10319
DE,2013,M03,9486
DE,2013,M04,8372
DE,2013,M05,7578
DE,2013,M06,8557
DE,2013,M07,9045
DE,2013,M08,8790
DE,2013,M09,7059
DE,2013,M10,7178
DE,2013,M11,7959
DE,2013,M12,9047
DE,2014,M01,10203
DE,2014,M02,10988
DE,2014,M03,9595
DE,2014,M04,7830
DE,2014,M05,7045
DE,2014,M06,7611
DE,2014,M07,8027
DE,2014,M08,7722
DE,2014,M09,5544
DE,2014,M10,6157
DE,2014,M11,6568
DE,2014,M12,7159
DE,2015,M01,8990
DE,2015,M02,8680
DE,2015,M03,8449
DE,2015,M04,6430
DE,2015,M05,5741
DE,2015,M06,6470
DE,2015,M07,6968
DE,2015,M08,6943
DE,2015,M09,5381
DE,2015,M10,5365
DE,2015,M11,5868
DE,2015,M12,3492
DE,2016,M01,7903
DE,2016,M02,7630
DE,2016,M03,7175
DE,2016,M04,6086
DE,2016,M05,5596
DE,2016,M06,6344
DE,2016,M07,6531
DE,2016,M08,6463
DE,2016,M09,4720
DE,2016,M10,4819
DE,2016,M11,3622
DE,2016,M12,5644
DE,2017,M01,7174
DE,2017,M02,7256
DE,2017,M03,6727
DE,2017,M04,5391
DE,2017,M05,4921
DE,2017,M06,5813
DE,2017,M07,6072
DE,2017,M08,6040
DE,2017,M09,4167
DE,2017,M10,3980
DE,2017,M11,4682
DE,2017,M12,5304
DE,2018,M01,7074
DE,2018,M02,6720
DE,2018,M03,5937
DE,2018,M04,4714
DE,2018,M05,4137
DE,2018,M06,5051
DE,2018,M07,5397
DE,2018,M08,5324
DE,2018,M09,3787
DE,2018,M10,3671
DE,2018,M11,4108
DE,2018,M12,4812
